,sentences
0,policies_cleanAbstract.
1,The Internet has quickly evolved into a vast global network owned and operated by thousands of different administrative entities.
2,"During this time, it became apparent that vanilla shortest-path routing would be insufficient to handle the myriad operational, economic, and political factors involved in routing."
3,"ISPs began to modify routing configurations to support routing policies, i.e. goals held by the router’s owner that controlled which routes were chosen and which routes were propagated to neighbors."
4,"BGP, originally a simple path-vector protocol, was incrementally modified over time with a number of mechanisms to support policies, adding substantially to the complexity."
5,Much of the mystery in BGP comes not only from the protocol complexity but also from a lack of understanding of the underlying policies and the problems ISPs face which they address.
6,"In this paper we shed light on goals operators have and their resulting routing policies, why BGP evolved the way it did, and how common policies are implemented using BGP."
7,We also discuss recent and current work in the field that aims to address problems that arise in applying and supporting routing policies.
8,1 Introduction.
9,"In the early days of the Internet, the problem of how to route packets to their final destination was much simpler than it is today."
10,"At the time, the requirements of the Internet’s routing protocol were fairly simple, as the Internet was small by today’s standards, operated by a single administrative entity (NSFNET), and shortest-path routing was typically used."
11,"Over time, as the Internet became more heavily commercialized and privatized, Internet Service Providers (ISPs) began to have vested interests in controlling the way traffic flowed for economic and political reasons."
12,The Border Gateway Protocol (BGP) was born out of the need for ISPs to control route selection (where to forward packets) and propagation (who to export routes to).
13,"When BGP was first introduced, it was a fairly simple path vector protocol."
14,"Over time, many incremental modifications to allow ISPs to control routing were proposed and added to BGP."
15,The end result was a protocol weighted down with a huge number of mechanisms that can overlap and conflict in various unpredictable ways.
16,"These modifications can be highly mysterious since many of them, including the decision process used to select routes, are not part of the protocol specification."
17,"Moreover, their complexity gives rise to several key problems, including unforeseen security vulnerabilities, widespread misconfiguration, and conflicts between policies at different ISPs."
18,"Addressing BGP’s problems is difficult, as changing certain aspects of BGP (for example changing the contents of update  messages or the way they are propagated) must be coordinated and simultaneously implemented in other ISPs to support the new design."
19,Hence most modifications to the protocol have been made to the decision process BGP uses to choose routes.
20,"The result is a protocol where most of the complexity is in the decision process and the policies used to influence decisions, while the rest of the protocol remained fairly simple over time."
21,"Therefore, in order to understand BGP it is necessary to understand this decision process and the policies of ISPs that gave rise to its design."
22,"Understanding policies is also key to solving BGP’s problems, understanding measurement data from BGP, or determining what features to support when developing a new version of BGP."
23,The range of policies used by operators constitutes a huge space and hence it is impossible to list them all here.
24,"Instead, we try to list common goals of network operators and the knobs of BGP that can be used to express policies."
25,"In particular, we attempt to isolate certain design patterns commonly used by ISPs, the motivations behind them, and how they are implemented in an ISP’s network using BGP’s mechanisms."
26,"We taxonomize policies into four general categories: business relationship policy (Section 3) arising from economic or political relationships an ISP has with its neighbor, traffic engineering policy (Section 4) arising from the need to control traffic flow within an ISP and across peering links to avoid congestion and provide good service quality, policies for scalability (Section 5) to reduce control traffic and avoid overloading routers, and security-related policies (Section 6) that are often used to protect an ISP against malicious or accidental attacks."
27,We also discuss several avenues of research currently in progress related to BGP policies (Section 7).
28,We start by giving an overview of BGP routing in the next section.
29,2 BGP routing in a single AS.
30,The Internet consists of thousands of Autonomous Systems (ASes)—networks that are each owned and operated by a single institution.
31,BGP is the routing protocol used to exchange reachability information across ASes.
